Schurn,dist_KL_GEN,dist_KL_LR,dist_KS_GEN,dist_KS_LR,dist_W1_GEN,dist_W1_LR,ext_P95_GEN,ext_P95_HR,ext_P95_ratio_GEN_HR,ext_P99_GEN,ext_P99_HR,ext_P99_ratio_GEN_HR,ext_wetfreq_GEN,ext_wetfreq_HR,ext_wetfreq_ratio_GEN_HR,ext_wethit_GEN,prob_CRPS_mean,prob_EnergyScore_mean,prob_PIT_KS_D,prob_PMM_MAE_mean,prob_RankHist_max_abs_z,prob_SpreadSkill_r,prob_SpreadSkill_slope,prob_VariogramScore_mean,rho,sampler_id,scale_FSS_ens_mean,scale_FSS_gen_mean,scale_FSS_lr_mean,scale_ISS_ens_mean,scale_ISS_gen_mean,scale_ISS_lr_mean,sigma_scale
0.5,0.008193,0.018323,0.587969,0.141308,1.715584,0.33089,7.410658,9.615486,0.7707003057359763,14.828287,18.002211,0.8236925453212386,0.297145,0.324367,0.9160765429282263,0.776638,0.730841,nan,0.080935,1.075468,214.796358,0.915154,0.955697,nan,9.0,rho=9.00_Schurn=0.50_sigscale=1.05,,0.585758,,,0.829013,,1.05
0.5,0.008607,0.018431,0.581273,0.143133,1.750301,0.331718,7.531449,9.844428,0.7650468874372386,14.868758,18.449046,0.8059364153571952,0.304594,0.332977,0.9147598783099131,0.781831,0.737004,nan,0.080502,1.085984,220.943736,0.911333,0.978615,nan,9.0,rho=9.00_Schurn=0.50_sigscale=1.10,,0.586854,,,0.831125,,1.1
1.0,0.010844,0.017749,0.575436,0.135836,1.736923,0.323794,7.428134,9.8079,0.7573623303663374,14.438305,18.116695,0.7969613111000654,0.307507,0.339516,0.9057216743835341,0.781803,0.753519,nan,0.093384,1.091815,257.092323,0.906843,0.969836,nan,9.0,rho=9.00_Schurn=1.00_sigscale=0.90,,0.594238,,,0.828656,,0.9
1.0,0.009392,0.018036,0.583863,0.139012,1.713178,0.333902,7.380093,9.72937,0.7585376031541611,14.705291,18.405009,0.7989830920484745,0.299159,0.3305,0.9051709531013615,0.77792,0.735689,nan,0.087802,1.07347,233.739575,0.911059,0.986306,nan,9.0,rho=9.00_Schurn=1.00_sigscale=0.95,,0.59164,,,0.830895,,0.95
1.0,0.008784,0.016974,0.576795,0.136406,1.739623,0.315269,7.470014,9.646554,0.774371241792665,14.914389,18.559788,0.8035861724282626,0.306629,0.33541,0.9141915864166245,0.781544,0.736967,nan,0.0833,1.078012,247.334869,0.908094,0.962231,nan,9.0,rho=9.00_Schurn=1.00_sigscale=1.00,,0.592238,,,0.831526,,1.0
1.0,0.0088,0.018424,0.575892,0.137611,1.80979,0.345162,7.824459,10.136587,0.7719027124218437,15.026494,18.737614,0.8019427660320038,0.313775,0.339619,0.9239029618484244,0.791391,0.75372,nan,0.083092,1.09918,243.756681,0.904894,0.960756,nan,9.0,rho=9.00_Schurn=1.00_sigscale=1.05,,0.595623,,,0.830143,,1.05
1.0,0.007901,0.018653,0.575778,0.138117,1.781232,0.329013,7.63378,9.74701,0.7831919737437429,14.968774,18.382746,0.8142838942560594,0.313548,0.33716,0.9299679677304543,0.792888,0.738994,nan,0.080081,1.084678,224.818019,0.907722,0.962909,nan,9.0,rho=9.00_Schurn=1.00_sigscale=1.10,,0.597653,,,0.830895,,1.1
2.0,0.008798,0.017576,0.591521,0.140139,1.706439,0.317848,7.360663,9.692603,0.7594103462196894,14.42087,18.072803,0.7979321193286952,0.296283,0.324362,0.9134331395169596,0.78426,0.71859,nan,0.082035,1.054335,222.059785,0.911181,0.959936,nan,9.0,rho=9.00_Schurn=2.00_sigscale=0.90,,0.591176,,,0.833618,,0.9
2.0,0.007459,0.016978,0.577963,0.138867,1.760689,0.326397,7.655066,9.785245,0.78230703472422,14.902263,18.422662,0.8089093204879947,0.304927,0.333756,0.9136225266362252,0.780969,0.730288,nan,0.078517,1.067401,212.432157,0.907317,0.947634,nan,9.0,rho=9.00_Schurn=2.00_sigscale=0.95,,0.592695,,,0.832006,,0.95
2.0,0.007291,0.01885,0.582668,0.141576,1.748064,0.345538,7.542742,9.665687,0.7803627408998449,15.186876,18.328808,0.8285795781155,0.303701,0.329109,0.9227976141643043,0.781831,0.722676,nan,0.071843,1.064395,205.742699,0.90289,0.925561,nan,9.0,rho=9.00_Schurn=2.00_sigscale=1.00,,0.594302,,,0.832615,,1.0
2.0,0.006635,0.019688,0.584386,0.145407,1.763127,0.351811,7.652449,9.642576,0.7936104418570307,14.626835,17.69749,0.8264920618686605,0.30708,0.32857,0.9345953678059471,0.788525,0.708545,nan,0.065886,1.045065,174.25874,0.90043,0.911997,nan,9.0,rho=9.00_Schurn=2.00_sigscale=1.05,,0.584976,,,0.833048,,1.05
2.0,0.00623,0.01841,0.584645,0.141498,1.802693,0.326374,7.768222,9.714032,0.7996907978067191,15.213864,18.504246,0.8221823250728508,0.311563,0.328939,0.9471756161476748,0.798243,0.723332,nan,0.060878,1.078574,163.583393,0.919804,0.945207,nan,9.0,rho=9.00_Schurn=2.00_sigscale=1.10,,0.594552,,,0.832571,,1.1
